id,veh_type,t_depart_secs,t_arrival_secs,t_traveltime_secs,origin,destiny,route_detail,route_path_num,is_attended,has_finished
919,car,18,100,82,4/8to4/9,5/13to6/13,4/8to4/9:4/9to4/10:4/10to4/11:4/11to4/12:4/12to4/13:4/13to5/13:5/13to6/13:,7,False,True
10,car,18,389,371,left15to0/15,15/0tobottom15,left15to0/15:0/15to1/15:1/15to2/15:2/15to3/15:3/15to4/15:4/15to5/15:5/15to6/15:6/15to7/15:7/15to8/15:8/15to9/15:9/15to10/15:10/15to10/14:10/14to10/13:10/13to10/12:10/12to10/11:10/11to10/10:10/10to10/9:10/9to10/8:10/8to10/7:10/7to10/6:10/6to10/5:10/5to10/4:10/4to10/3:10/3to10/2:10/2to10/1:10/1to10/0:10/0to11/0:11/0to12/0:12/0to13/0:13/0to14/0:14/0to15/0:15/0tobottom15:,32,False,True
75,car,18,392,374,left15to0/15,15/0tobottom15,left15to0/15:0/15to1/15:1/15to2/15:2/15to3/15:3/15to4/15:4/15to5/15:5/15to6/15:6/15to7/15:7/15to8/15:8/15to9/15:9/15to10/15:10/15to10/14:10/14to10/13:10/13to10/12:10/12to10/11:10/11to10/10:10/10to10/9:10/9to10/8:10/8to10/7:10/7to10/6:10/6to10/5:10/5to10/4:10/4to10/3:10/3to10/2:10/2to10/1:10/1to10/0:10/0to11/0:11/0to12/0:12/0to13/0:13/0to14/0:14/0to15/0:15/0tobottom15:,32,False,True
838,car,18,116,98,9/11to10/11,13/14to14/14,9/11to10/11:10/11to10/12:10/12to10/13:10/13to10/14:10/14to11/14:11/14to12/14:12/14to13/14:13/14to14/14:,8,False,True
2164,car,19,186,167,12/10to11/10,3/8to4/8,12/10to11/10:11/10to10/10:10/10to9/10:9/10to8/10:8/10to7/10:7/10to6/10:6/10to5/10:5/10to4/10:4/10to3/10:3/10to3/9:3/9to3/8:3/8to4/8:,12,False,True
3197,car,19,76,57,7/9to6/9,6/12to7/12,7/9to6/9:6/9to6/10:6/10to6/11:6/11to6/12:6/12to7/12:,5,False,True
2563,car,19,249,230,top8to8/15,1/4to1/3,top8to8/15:8/15to7/15:7/15to6/15:6/15to5/15:5/15to4/15:4/15to3/15:3/15to2/15:2/15to1/15:1/15to1/14:1/14to1/13:1/13to1/12:1/12to1/11:1/11to1/10:1/10to1/9:1/9to1/8:1/8to1/7:1/7to1/6:1/6to1/5:1/5to1/4:1/4to1/3:,20,False,True
3245,motorcycle,20,131,111,4/6to5/6,12/6to12/5,4/6to5/6:5/6to6/6:6/6to7/6:7/6to8/6:8/6to9/6:9/6to10/6:10/6to11/6:11/6to12/6:12/6to12/5:,9,False,True
2471,car,20,123,103,3/15to3/14,9/14to10/14,3/15to3/14:3/14to4/14:4/14to5/14:5/14to6/14:6/14to7/14:7/14to8/14:8/14to9/14:9/14to10/14:,8,False,True
767,car,20,297,277,5/0to5/1,13/14to13/15,5/0to5/1:5/1to6/1:6/1to7/1:7/1to8/1:8/1to9/1:9/1to10/1:10/1to10/2:10/2to10/3:10/3to10/4:10/4to10/5:10/5to10/6:10/6to10/7:10/7to10/8:10/8to10/9:10/9to10/10:10/10to10/11:10/11to10/12:10/12to10/13:10/13to10/14:10/14to11/14:11/14to12/14:12/14to13/14:13/14to13/15:,23,False,True
