,taz,x,y
283578369,,-3.652669,40.502365
283578447,,-3.655535,40.501233
283578521,,-3.654815,40.503186
283578575,,-3.656036,40.504889
283578593,,-3.656703,40.503758
283578607,,-3.656681,40.503432
283578807,,-3.653531,40.499411
283587331,,-3.656516,40.501321
283587332,,-3.656298,40.501169
283587334,,-3.655402,40.501041
283587337,,-3.656337,40.500299
283587338,,-3.654617,40.499222
283587341,,-3.654389,40.500781
283587348,,-3.653717,40.497608
283587350,,-3.654187,40.497121
283587352,,-3.657737,40.499856
283587353,,-3.653707,40.500177
2893334733,,-3.677913,40.510309
2893334740,,-3.677119,40.510627
2893334756,,-3.679094,40.510918
2893334757,,-3.67632,40.510938
2893334770,,-3.678249,40.511117
2893334790,,-3.677417,40.511383
2893334797,,-3.677445,40.511452
2893335408,,-3.676605,40.511629
2893335420,,-3.678562,40.511914
2893335425,,-3.677707,40.512115
2893335427,,-3.676891,40.512319
2919062611,,-3.660951,40.495539
2919062644,,-3.660715,40.495757
2919062871,,-3.659794,40.49661
2919062894,,-3.65964,40.496752
2919063222,,-3.662813,40.497429
2919063229,,-3.659604,40.497736
2919063231,,-3.659708,40.4978
2919063238,,-3.661485,40.498525
293609711,,-3.654738,40.495355
293609716,,-3.655573,40.495877
2939743865,,-3.672788,40.50559
2939743869,,-3.67299,40.505684
298402740,,-3.65493,40.498095
298965796,,-3.652903,40.509328
298966038,1004,-3.65987,40.510382
299316288,,-3.654386,40.497241
299316291,,-3.656688,40.496453
299316292,,-3.655811,40.495902
299316294,,-3.657581,40.497007
299316298,,-3.655727,40.495979
299316300,,-3.657487,40.497089
299316301,,-3.658613,40.496052
299316302,,-3.657721,40.495503
299317325,1000,-3.660023,40.500805
299317329,1000,-3.659344,40.500719
299852439,,-3.65688,40.501139
299852443,,-3.654623,40.500725
299852445,,-3.653595,40.499651
300022787,1001,-3.664375,40.495503
300022789,1001,-3.663886,40.496271
300022791,1001,-3.663837,40.496336
300023758,,-3.652892,40.504451
300023764,,-3.652084,40.503159
300023780,,-3.653131,40.506951
300023789,,-3.656261,40.505696
300023791,,-3.654653,40.50478
300023794,,-3.654504,40.505766
300023801,,-3.65459,40.505926
300023802,,-3.654671,40.505982
300023805,,-3.654431,40.505913
300023806,,-3.656998,40.505707
300023817,,-3.652206,40.507965
300023824,,-3.651993,40.509168
300023832,,-3.652333,40.511077
300500832,,-3.677698,40.513692
300500834,,-3.678232,40.51346
3007224934,1002,-3.666689,40.516083
3007224996,1003,-3.681518,40.512653
3007225007,,-3.679182,40.513286
3007225252,,-3.680688,40.512928
300759111,,-3.65232,40.511185
300759113,,-3.652233,40.511144
300759115,,-3.652075,40.511198
300759118,,-3.652118,40.511346
301640218,,-3.675899,40.502203
301640220,,-3.675551,40.502172
301640222,,-3.673499,40.502094
301640224,,-3.67184,40.501286
301640529,,-3.670082,40.500093
301640530,,-3.670506,40.500243
301641173,,-3.672285,40.501468
301641174,,-3.674264,40.502128
301641367,,-3.673948,40.502335
301641369,,-3.673592,40.503575
301641752,,-3.669923,40.508034
301641754,,-3.670105,40.508526
301642757,,-3.666932,40.510988
301642820,,-3.670504,40.508412
302494044,,-3.678439,40.507972
302494045,,-3.678304,40.507778
302494046,,-3.677694,40.507605
302494048,,-3.677828,40.507594
303095938,,-3.678616,40.508705
303255716,,-3.674051,40.499607
303255717,,-3.672209,40.501194
303255718,,-3.670161,40.500364
303255719,,-3.670404,40.499997
303255756,,-3.673859,40.501859
303255757,,-3.671963,40.501554
303255761,,-3.675171,40.500178
3039450016,,-3.67116,40.511703
3057812619,,-3.660103,40.498057
3057812621,,-3.658143,40.498322
306123126,,-3.678177,40.508037
308754123,1005,-3.671425,40.515518
308868558,1000,-3.659034,40.500644
308868559,1000,-3.658533,40.500132
308872937,,-3.65427,40.497677
308873172,1000,-3.662527,40.502775
308873173,1000,-3.662781,40.503132
308873299,,-3.665098,40.504713
308876789,1000,-3.663238,40.503243
308877178,,-3.654641,40.497671
310344436,1000,-3.661447,40.502382
310344437,1000,-3.662144,40.502687
310357074,,-3.676062,40.508464
310391991,,-3.673318,40.511792
310391993,,-3.671432,40.512539
310391994,,-3.671195,40.514001
310391995,,-3.667333,40.511502
310391996,,-3.667088,40.511109
310391997,,-3.666911,40.511003
310391998,,-3.666354,40.510834
310391999,1000,-3.66149,40.502396
310392000,1000,-3.659165,40.500743
310392007,1000,-3.65927,40.500662
310392009,1000,-3.659088,40.500009
310392010,1000,-3.658217,40.500169
310392011,1000,-3.658215,40.500697
310392012,1000,-3.658331,40.500823
310392013,,-3.654595,40.497642
310392014,,-3.654365,40.496986
310392015,,-3.653641,40.497048
310392037,,-3.652411,40.513196
310392041,,-3.65232,40.511323
310454639,1000,-3.66243,40.502717
310454641,1000,-3.6629,40.50321
310466343,,-3.665178,40.504771
311342314,,-3.652313,40.513012
311342315,,-3.652161,40.51325
311342316,,-3.652026,40.513515
311342324,,-3.652686,40.513998
311342326,,-3.651998,40.514612
313186120,,-3.653448,40.512036
313186128,,-3.652499,40.512869
313186174,,-3.656603,40.496533
313186178,,-3.655074,40.497941
31496055,1005,-3.670421,40.516531
31496070,1005,-3.671275,40.516197
31496117,1005,-3.671095,40.5159
31496120,1005,-3.670212,40.516197
3156769597,1002,-3.662248,40.512015
31878522,1005,-3.672102,40.515582
3310766710,,-3.653533,40.511645
3310766718,,-3.653987,40.51145
3310766729,,-3.65325,40.511911
