tail.node	head.node	capacity..veh.h.	length..miles.	fftt.min.	Power	B	speed.limit..mph.
N25903298	N25901948	9999	2.09	0.15046796256299494	0.15	4	13.89
N25903298	N25901958	9999	9.37	0.6745860331173505	0.15	4	13.89
N25903302	N25903298	9999	11.51	0.8286537077033836	0.15	4	13.89
N25903307	N25903309	9999	0.2	0.014398848092152628	0.15	4	13.89
N25903307	N3418035826	9999	14.26	1.0266378689704825	0.15	4	13.89
N25903309	N1278838976	9999	34.62	2.49244060475162	0.15	4	13.89
N25903309	N25903307	9999	1.17	0.08423326133909287	0.15	4	13.89
N2620304856	N28096488	9999	127.93	9.210223182145427	0.15	4	13.89
N2620304879	N25552421	9999	15.21	1.0950323974082077	0.15	4	13.89
N2620304879	N25552423	9999	87.61	6.307415406767459	0.15	4	13.89
N26513047	N4576234822	9999	5.06	0.36429085673146144	0.15	4	13.89
N26513047	N4576234824	9999	5.36	0.3858891288696905	0.15	4	13.89
N26513061	N26513067	9999	72.94	5.251259899208064	0.15	4	13.89
N26513061	N26513105	9999	105.6	7.602591792656588	0.15	4	13.89
N26513067	N1555729951	9999	101.73	7.323974082073433	0.15	4	13.89
N26513067	N26513085	9999	153.23	11.031677465802737	0.15	4	13.89
N26513072	N1555729967	9999	7.55	0.5435565154787617	0.15	4	13.89
N26513072	N3323813669	9999	139.85	10.068394528437723	0.15	4	13.89
N26513085	N1973690393	9999	11.75	0.8459323254139669	0.15	4	13.89
N26513085	N996183822	9999	36.21	2.6069114470842334	0.15	4	13.89
N26513097	N1209332387	9999	34.66	2.49532037437005	0.15	4	13.89
N26513105	N26513097	9999	65.92	4.745860331173506	0.15	4	13.89
N26513105	N26513145	9999	103.01	7.416126709863211	0.15	4	13.89
N26513111	N26513067	9999	103.28	7.435565154787617	0.15	4	13.89
N26513111	N26513105	9999	74.96	5.3966882649388035	0.15	4	13.89
N26513117	N1973690386	9999	94.3	6.789056875449964	0.15	4	13.89
N26513117	N26513124	9999	74.09	5.334053275737941	0.15	4	13.89
N26513124	N26513111	9999	70.35	5.064794816414686	0.15	4	13.89
N26513132	N1950481105	9999	62.74	4.5169186465082785	0.15	4	13.89
N26513132	N26513124	9999	100.01	7.2001439884809235	0.15	4	13.89
N26513137	N26513111	9999	101.59	7.313894888408928	0.15	4	13.89
N26513137	N942080449	9999	2.77	0.1994240460763139	0.15	4	13.89
N26513145	N26513137	9999	72.79	5.240460763138949	0.15	4	13.89
N26513155	N1981925766	9999	92.92	6.689704823614111	0.15	4	13.89
N26513155	N4470512290	9999	138.1	9.942404607631387	0.15	4	13.89
N26784118	N28096712	9999	95.13	6.848812095032398	0.15	4	13.89
N2757612347	N4203458319	9999	97.1	6.9906407487401	0.15	4	13.89
N28096488	N1963430768	9999	10.09	0.7264218862491	0.15	4	13.89
N28096488	N29484172	9999	100.88	7.262778977681784	0.15	4	13.89
N2827804125	N25552447	9999	4.1	0.2951763858891288	0.15	4	13.89
N29484171	N1505184318	9999	10.83	0.7796976241900647	0.15	4	13.89
N29484171	N1505184320	9999	9.89	0.7120230381569475	0.15	4	13.89
N29484171	N1505184322	9999	0.94	0.06767458603311734	0.15	4	13.89
N29484172	N1505184321	9999	98.31	7.077753779697624	0.15	4	13.89
N29484172	N2757612347	9999	46.05	3.3153347732181424	0.15	4	13.89
N3235382373	N2506473199	9999	4.23	0.3045356371490281	0.15	4	13.89
N3280496563	N1209330887	9999	21.5	1.5478761699064074	0.15	4	13.89
N3280496563	N171946	9999	5.27	0.3794096472282217	0.15	4	13.89
N329991000	N1209330887	9999	3.21	0.2311015118790497	0.15	4	13.89
N329991000	N3280496563	9999	26.11	1.8797696184305253	0.15	4	13.89
N329991170	N2506473177	9999	0.14	0.01007919366450684	0.15	4	13.89
N329991195	N2383701847	9999	83.28	5.995680345572354	0.15	4	13.89
N329991283	N21527321	9999	15.5	1.1159107271418287	0.15	4	13.89
N329991544	N4154368889	9999	83.97	6.04535637149028	0.15	4	13.89
N3323813669	N942080445	9999	11.26	0.8106551475881929	0.15	4	13.89
N3323948849	N3428425012	9999	6.82	0.4910007199424046	0.15	4	13.89
N3418035823	N25901895	9999	22.49	1.6191504679625628	0.15	4	13.89
N3418035825	N25901925	9999	20.38	1.4672426205903526	0.15	4	13.89
N3418035827	N25901925	9999	14.23	1.0244780417566597	0.15	4	13.89
N3418035839	N942080477	9999	4.11	0.2958963282937365	0.15	4	13.89
N3418035846	N1493669240	9999	11.86	0.8538516918646507	0.15	4	13.89
N3428425011	N25903307	9999	0.87	0.06263498920086392	0.15	4	13.89
N3428425012	N1278839042	9999	2.86	0.20590352771778256	0.15	4	13.89
N3428425014	N25552450	9999	2.74	0.197264218862491	0.15	4	13.89
N345537803	N25901950	9999	0.2	0.014398848092152628	0.15	4	13.89
N345537803	N3323948849	9999	0.2	0.014398848092152628	0.15	4	13.89
N345538475	N1278839131	9999	14.01	1.0086393088552916	0.15	4	13.89
N3587032531	N3418035823	9999	26.74	1.9251259899208064	0.15	4	13.89
N365886564	N1915012228	9999	47.63	3.4290856731461483	0.15	4	13.89
N365886564	N25903298	9999	6.9	0.4967602591792656	0.15	4	13.89
N389139048	N1278838975	9999	39.97	2.8776097912167025	0.15	4	13.89
N389139048	N25901936	9999	7.18	0.5169186465082793	0.15	4	13.89
N389139057	N2383701845	9999	4.27	0.3074154067674585	0.15	4	13.89
N389139057	N329991195	9999	28.21	2.0309575233981283	0.15	4	13.89
N4018314904	N255522956	9999	26.16	1.883369330453564	0.15	4	13.89
N4154368889	N2383701847	9999	73.24	5.272858171346292	0.15	4	13.89
N4154368889	N329991170	9999	80.39	5.787616990640749	0.15	4	13.89
N4203458319	N25552418	9999	6.01	0.4326853851691864	0.15	4	13.89
N4456617457	N25552449	9999	10.56	0.7602591792656588	0.15	4	13.89
N4470512290	N25552423	9999	12.57	0.9049676025917928	0.15	4	13.89
N4576234358	N26513061	9999	4.52	0.3254139668826493	0.15	4	13.89
N4576234359	N26513061	9999	3.01	0.21670266378689704	0.15	4	13.89
N4576234370	N1555729985	9999	3.58	0.257739380849532	0.15	4	13.89
