FLOW;FROM-TO;STEP 1;STEP 2;STEP 3;STEP 4;STEP 5;STEP 6;STEP 7;STEP 8;STEP 9;STEP 10;STEP 11;STEP 12;STEP 13;STEP 14;STEP 15;STEP 16;STEP 17;STEP 18;STEP 19;STEP 20;STEP 21;STEP 22
4;N1957490899|N4456617457;N1957490899-N21527321;N21527321-N2383701846;N2383701846-N329991544;N329991544-N4154368889;N4154368889-N2383701847;N2383701847-N255289006;N255289006-N255289007;N255289007-N942080459;N942080459-N26513137;N26513137-N26513111;N26513111-N26513067;N26513067-N26513085;N26513085-N1973690392;N1973690392-N1555729967;N1555729967-N26513072;N26513072-N1278838937;N1278838937-N2377018002;N2377018002-N25552447;N25552447-N25552448;N25552448-N25552449;N25552449-N4456617457;
4;N1957490899|N4456617457;N1957490899-N21527321;N21527321-N2383701846;N2383701846-N329991544;N329991544-N4154368889;N4154368889-N2383701847;N2383701847-N255289006;N255289006-N255289007;N255289007-N942080459;N942080459-N26513137;N26513137-N26513111;N26513111-N26513124;N26513124-N26513117;N26513117-N1981925767;N1981925767-N25552425;N25552425-N1950481125;N1950481125-N25552446;N25552446-N1278839005;N1278839005-N1555729961;N1555729961-N25552447;N25552447-N25552448;N25552448-N25552449;N25552449-N4456617457
5;N25901898|N1957490899;N25901898-N25901897;N25901897-N25901914;N25901914-N25901917;N25901917-N25901921;N25901921-N942080445;N942080445-N1555729951;N1555729951-N26513067;N26513067-N26513111;N26513111-N26513137;N26513137-N942080459;N942080459-N255289007;N255289007-N255289006;N255289006-N2383701847;N2383701847-N4154368889;N4154368889-N329991544;N329991544-N2383701846;N2383701846-N21527321;N21527321-N1957490899;;;;
5;N25901898|N1957490899;N25901898-N25901897;N25901897-N942080448;N942080448-N4576234377;N4576234377-N1900998827;N1900998827-N1900998825;N1900998825-N4576234358;N4576234358-N26513061;N26513061-N26513105;N26513105-N26513145;N26513145-N171946;N171946-N1209330272;N1209330272-N1209330640;N1209330640-N25552412;N25552412-N2383701847;N2383701847-N4154368889;N4154368889-N329991544;N329991544-N2383701846;N2383701846-N21527321;N21527321-N1957490899;;;
5;N25901898|N1957490899;N25901898-N25901897;N25901897-N25901914;N25901914-N25901917;N25901917-N25901919;N25901919-N942080445;N942080445-N1555729951;N1555729951-N26513067;N26513067-N26513111;N26513111-N26513137;N26513137-N942080459;N942080459-N255289007;N255289007-N255289006;N255289006-N2383701847;N2383701847-N4154368889;N4154368889-N329991544;N329991544-N2383701846;N2383701846-N21527321;N21527321-N1957490899;;;;
6;N25901898|N2827804125;N25901898-N25901897;N25901897-N25901914;N25901914-N25901917;N25901917-N25901921;N25901921-N942080445;N942080445-N3323813669;N3323813669-N26513072;N26513072-N1278838937;N1278838937-N2377018002;N2377018002-N25552447;N25552447-N2827804125;;;;;;;;;;;
6;N25901898|N2827804125;N25901898-N25901897;N25901897-N25901914;N25901914-N25901895;N25901895-N3418035825;N3418035825-N25901925;N25901925-N1278838932;N1278838932-N345538475;N345538475-N1278839131;N1278839131-N25901948;N25901948-N25901958;N25901958-N345537803;N345537803-N3323948849;N3323948849-N3428425012;N3428425012-N1278839042;N1278839042-N2827804125;;;;;;;
6;N25901898|N2827804125;N25901898-N25901897;N25901897-N25901914;N25901914-N25901917;N25901917-N25901919;N25901919-N942080445;N942080445-N3323813669;N3323813669-N26513072;N26513072-N1278838937;N1278838937-N2377018002;N2377018002-N25552447;N25552447-N2827804125;;;;;;;;;;;
7;N25901898|N329991000;N25901898-N25901897;N25901897-N942080448;N942080448-N4576234370;N4576234370-N1555729985;N1555729985-N4576234823;N4576234823-N26513047;N26513047-N4576234824;N4576234824-N4576234828;N4576234828-N26513097;N26513097-N1209332387;N1209332387-N1209330887;N1209330887-N329991000;;;;;;;;;;
7;N25901898|N329991000;N25901898-N25901897;N25901897-N942080448;N942080448-N4576234377;N4576234377-N1900998827;N1900998827-N1900998825;N1900998825-N4576234358;N4576234358-N26513061;N26513061-N26513105;N26513105-N26513145;N26513145-N171946;N171946-N3280496563;N3280496563-N329991000;;;;;;;;;;
