,taz,x,y
1537861047,,-3.670508,40.431899
1555729943,1007,-3.686336,40.436305
1555729951,,-3.688211,40.422525
1555729961,,-3.687732,40.42538
1555729967,,-3.688001,40.42396
1555729975,1007,-3.686236,40.437719
1555729980,,-3.687556,40.426492
1555729985,1004,-3.688394,40.421183
1572572843,,-3.669001,40.423708
1572572873,,-3.669038,40.424464
1572572891,,-3.670812,40.424946
158849456,,-3.671194,40.42135
1689543016,,-3.687011,40.429264
1689543018,,-3.686758,40.430454
1689543023,,-3.686714,40.431707
1689543025,1005,-3.686555,40.432904
1689543046,1005,-3.686545,40.433022
1689543052,1005,-3.686505,40.434036
1689543057,,-3.686378,40.435091
171946,,-3.684454,40.421253
1759501456,1006,-3.690003,40.436503
1759501461,1006,-3.68989,40.436659
1759501463,1006,-3.690688,40.437337
1759501468,1006,-3.690044,40.437438
1759501507,1006,-3.690389,40.437728
1759501511,1006,-3.690054,40.43774
1759501517,1006,-3.690292,40.43789
1759501519,1006,-3.689995,40.43789
1759501542,1006,-3.689991,40.437915
1759501646,1006,-3.690403,40.43848
1759501673,,-3.69057,40.438809
1760085654,1003,-3.690711,40.425693
1760085655,1003,-3.689862,40.425849
1760085659,1003,-3.690562,40.426261
1760085662,1003,-3.690407,40.426824
1760085663,,-3.690014,40.427114
1760085665,,-3.690313,40.427184
1760085666,,-3.689685,40.427886
1760085667,,-3.689222,40.427962
1760085668,,-3.689492,40.427972
1760085669,,-3.689951,40.427986
1760085670,,-3.689303,40.42806
1760085673,,-3.689628,40.428105
1760085674,,-3.69007,40.428109
1760085675,,-3.689748,40.428122
1760085677,,-3.689172,40.428517
1760085679,,-3.689898,40.428754
1760085686,,-3.689806,40.42921
1760085688,,-3.688984,40.429225
1760085689,,-3.689331,40.429242
1760085691,,-3.689447,40.42926
1760085693,,-3.689134,40.429367
1760085694,,-3.689583,40.429401
1760085695,,-3.689883,40.429416
1760085696,,-3.689391,40.429473
1760085698,,-3.689702,40.429521
1760085699,,-3.689022,40.430424
1760085700,,-3.688698,40.430439
1760085702,,-3.688842,40.430563
1760085703,,-3.689273,40.430594
1760085704,,-3.689577,40.430615
1760085718,1005,-3.688003,40.433163
1760085724,,-3.688965,40.435152
1760085725,,-3.68863,40.435351
1760085727,1006,-3.688335,40.435672
1760085734,1006,-3.688918,40.436024
1854738316,,-3.681038,40.430928
1900998825,,-3.688309,40.421807
1900998827,,-3.688458,40.421813
1915012227,1003,-3.690593,40.424347
1915012228,1003,-3.690682,40.424374
1915012230,1003,-3.690172,40.42451
1950481102,1000,-3.679032,40.423321
1950481105,,-3.684247,40.423655
1950481109,,-3.677098,40.424854
1950481116,,-3.684368,40.425198
1950481121,,-3.68659,40.425207
1950481125,,-3.686474,40.425306
1950481127,,-3.686557,40.425455
1950481160,,-3.683933,40.427603
1950481162,,-3.684122,40.427711
1950481166,,-3.684994,40.427759
1957490892,,-3.679539,40.420228
1957490893,1000,-3.679465,40.420382
1957490895,1000,-3.679608,40.420567
1957490897,1000,-3.6797,40.420684
1957490899,1000,-3.679941,40.421345
1963430764,,-3.676093,40.420273
