,edge_id,lane_id,lane_index,lane_length,lane_shape,lane_speed
5148,:7/14_10,:7/14_10_0,0,5.00,"1088.25,2118.65 1088.44,2120.01 1089.03,2120.97 1089.99,2121.56 1091.35,2121.75",13.90
5149,:7/14_11,:7/14_11_0,0,22.70,"1088.25,2118.65 1088.25,2125.39 1088.25,2130.00 1088.25,2134.61 1088.25,2141.35",13.90
5150,:7/14_11,:7/14_11_1,1,22.70,"1084.95,2118.65 1084.95,2125.39 1084.95,2130.00 1084.95,2134.61 1084.95,2141.35",13.90
5151,:7/14_11,:7/14_11_2,2,22.70,"1081.65,2118.65 1081.65,2125.39 1081.65,2130.00 1081.65,2134.61 1081.65,2141.35",13.90
5152,:7/14_14,:7/14_14_0,0,7.47,"1081.65,2118.65 1080.84,2124.34 1079.95,2125.82",13.90
5153,:7/14_15,:7/14_15_0,0,2.41,"1081.65,2118.65 1080.83,2119.89 1080.00,2120.30",13.90
5154,:7/14_22,:7/14_22_0,0,13.50,"1079.95,2125.82 1078.40,2128.40 1074.34,2130.84 1068.65,2131.65",13.90
5155,:7/14_23,:7/14_23_0,0,2.41,"1080.00,2120.30 1079.18,2119.89 1078.35,2118.65",13.90
5156,:7/14_16,:7/14_16_0,0,5.00,"1068.65,2121.75 1070.01,2121.56 1070.97,2120.97 1071.56,2120.01 1071.75,2118.65",13.90
5157,:7/14_17,:7/14_17_0,0,22.70,"1068.65,2125.05 1075.39,2125.05 1080.00,2125.05 1084.61,2125.05 1091.35,2125.05",13.90
5158,:7/14_18,:7/14_18_0,0,20.97,"1068.65,2128.35 1074.34,2129.16 1078.40,2131.60 1080.84,2135.66 1081.65,2141.35",13.90
5159,:7/14_19,:7/14_19_0,0,4.82,"1068.65,2128.35 1069.89,2129.17 1070.30,2130.00 1069.89,2130.83 1068.65,2131.65",13.90
5160,:7/15_0,:7/15_0_0,0,5.00,"1071.75,2291.35 1071.56,2289.99 1070.97,2289.03 1070.01,2288.44 1068.65,2288.25",13.90
5161,:7/15_1,:7/15_1_0,0,22.70,"1071.75,2291.35 1071.75,2284.61 1071.75,2280.00 1071.75,2275.39 1071.75,2268.65",13.90
5162,:7/15_1,:7/15_1_1,1,22.70,"1075.05,2291.35 1075.05,2284.61 1075.05,2280.00 1075.05,2275.39 1075.05,2268.65",13.90
5163,:7/15_1,:7/15_1_2,2,22.70,"1078.35,2291.35 1078.35,2284.61 1078.35,2280.00 1078.35,2275.39 1078.35,2268.65",13.90
5164,:7/15_4,:7/15_4_0,0,7.47,"1078.35,2291.35 1079.16,2285.66 1080.05,2284.18",13.90
5165,:7/15_5,:7/15_5_0,0,2.41,"1078.35,2291.35 1079.18,2290.11 1080.00,2289.70",13.90
5166,:7/15_20,:7/15_20_0,0,13.50,"1080.05,2284.18 1081.60,2281.60 1085.66,2279.16 1091.35,2278.35",13.90
5167,:7/15_21,:7/15_21_0,0,2.41,"1080.00,2289.70 1080.83,2290.11 1081.65,2291.35",13.90
5168,:7/15_6,:7/15_6_0,0,5.00,"1091.35,2288.25 1089.99,2288.44 1089.03,2289.03 1088.44,2289.99 1088.25,2291.35",13.90
5169,:7/15_7,:7/15_7_0,0,22.70,"1091.35,2284.95 1084.61,2284.95 1080.00,2284.95 1075.39,2284.95 1068.65,2284.95",13.90
5170,:7/15_8,:7/15_8_0,0,20.97,"1091.35,2281.65 1085.66,2280.84 1081.60,2278.40 1079.16,2274.34 1078.35,2268.65",13.90
5171,:7/15_9,:7/15_9_0,0,4.82,"1091.35,2281.65 1090.11,2280.83 1089.70,2280.00 1090.11,2279.17 1091.35,2278.35",13.90
5172,:7/15_10,:7/15_10_0,0,5.00,"1088.25,2268.65 1088.44,2270.01 1089.03,2270.97 1089.99,2271.56 1091.35,2271.75",13.90
5173,:7/15_11,:7/15_11_0,0,22.70,"1088.25,2268.65 1088.25,2275.39 1088.25,2280.00 1088.25,2284.61 1088.25,2291.35",13.90
