id,veh_type,t_depart_secs,t_arrival_secs,t_traveltime_secs,origin,destiny,route_detail,route_path_num,is_attended,has_finished
1101,car,535,625,90,top5to5/15,3/11to4/11,top5to5/15:5/15to4/15:4/15to3/15:3/15to3/14:3/14to3/13:3/13to3/12:3/12to3/11:3/11to4/11:,8,False,True
357,motorcycle,535,922,387,right0to15/0,0/15totop0,right0to15/0:15/0to14/0:14/0to13/0:13/0to12/0:12/0to11/0:11/0to10/0:10/0to9/0:9/0to8/0:8/0to7/0:7/0to6/0:6/0to5/0:5/0to4/0:4/0to3/0:3/0to2/0:2/0to1/0:1/0to0/0:0/0to0/1:0/1to0/2:0/2to0/3:0/3to0/4:0/4to0/5:0/5to0/6:0/6to0/7:0/7to0/8:0/8to0/9:0/9to0/10:0/10to0/11:0/11to0/12:0/12to0/13:0/13to0/14:0/14to0/15:0/15totop0:,32,True,True
397,motorcycle,535,922,387,right0to15/0,0/15totop0,right0to15/0:15/0to14/0:14/0to13/0:13/0to12/0:12/0to11/0:11/0to10/0:10/0to9/0:9/0to8/0:8/0to7/0:7/0to6/0:6/0to5/0:5/0to4/0:4/0to3/0:3/0to2/0:2/0to1/0:1/0to0/0:0/0to0/1:0/1to0/2:0/2to0/3:0/3to0/4:0/4to0/5:0/5to0/6:0/6to0/7:0/7to0/8:0/8to0/9:0/9to0/10:0/10to0/11:0/11to0/12:0/12to0/13:0/13to0/14:0/14to0/15:0/15totop0:,32,True,True
1471,car,536,738,202,10/13to10/12,1/8to1/7,10/13to10/12:10/12to9/12:9/12to8/12:8/12to7/12:7/12to6/12:6/12to5/12:5/12to4/12:4/12to3/12:3/12to2/12:2/12to1/12:1/12to1/11:1/11to1/10:1/10to1/9:1/9to1/8:1/8to1/7:,15,False,True
1850,car,537,736,199,3/9to3/10,14/9to14/8,3/9to3/10:3/10to4/10:4/10to5/10:5/10to6/10:6/10to7/10:7/10to8/10:8/10to9/10:9/10to10/10:10/10to10/9:10/9to11/9:11/9to12/9:12/9to13/9:13/9to14/9:14/9to14/8:,14,False,True
2660,motorcycle,537,701,164,9/15to8/15,5/7to5/6,9/15to8/15:8/15to7/15:7/15to6/15:6/15to5/15:5/15to5/14:5/14to5/13:5/13to5/12:5/12to5/11:5/11to5/10:5/10to5/9:5/9to5/8:5/8to5/7:5/7to5/6:,13,True,True
1294,car,537,1030,493,0/4to0/5,14/14to14/15,0/4to0/5:0/5to1/5:1/5to2/5:2/5to3/5:3/5to4/5:4/5to5/5:5/5to6/5:6/5to7/5:7/5to8/5:8/5to9/5:9/5to10/5:10/5to10/6:10/6to10/7:10/7to10/8:10/8to10/9:10/9to10/10:10/10to10/11:10/11to10/12:10/12to10/13:10/13to10/14:10/14to11/14:11/14to12/14:12/14to13/14:13/14to14/14:14/14to14/15:,25,False,True
1402,car,538,847,309,0/9to0/8,15/4toright4,0/9to0/8:0/8to1/8:1/8to2/8:2/8to3/8:3/8to4/8:4/8to5/8:5/8to6/8:6/8to7/8:7/8to8/8:8/8to9/8:9/8to10/8:10/8to10/7:10/7to10/6:10/6to10/5:10/5to10/4:10/4to11/4:11/4to12/4:12/4to13/4:13/4to14/4:14/4to15/4:15/4toright4:,21,False,True
1604,car,538,738,200,6/15to6/14,9/2to9/3,6/15to6/14:6/14to6/13:6/13to6/12:6/12to6/11:6/11to6/10:6/10to6/9:6/9to6/8:6/8to6/7:6/7to6/6:6/6to6/5:6/5to6/4:6/4to6/3:6/3to6/2:6/2to7/2:7/2to8/2:8/2to9/2:9/2to9/3:,17,True,True
430,car,539,625,86,12/8to11/8,14/10to15/10,12/8to11/8:11/8to11/9:11/9to11/10:11/10to12/10:12/10to13/10:13/10to14/10:14/10to15/10:,7,False,True
3256,car,539,636,97,bottom8to8/0,9/6to10/6,bottom8to8/0:8/0to8/1:8/1to8/2:8/2to8/3:8/3to8/4:8/4to8/5:8/5to8/6:8/6to9/6:9/6to10/6:,9,True,True
1576,motorcycle,539,729,190,5/5to5/6,10/12to10/13,5/5to5/6:5/6to5/7:5/7to5/8:5/8to5/9:5/9to5/10:5/10to6/10:6/10to7/10:7/10to8/10:8/10to9/10:9/10to10/10:10/10to10/11:10/11to10/12:10/12to10/13:,13,True,True
895,car,540,783,243,14/2to14/1,2/1to2/0,14/2to14/1:14/1to13/1:13/1to12/1:12/1to11/1:11/1to10/1:10/1to9/1:9/1to8/1:8/1to7/1:7/1to6/1:6/1to5/1:5/1to4/1:4/1to3/1:3/1to2/1:2/1to2/0:,14,False,True
251,car,541,918,377,right15to15/15,0/0tobottom0,right15to15/15:15/15to14/15:14/15to13/15:13/15to12/15:12/15to11/15:11/15to10/15:10/15to9/15:9/15to8/15:8/15to7/15:7/15to6/15:6/15to5/15:5/15to4/15:4/15to3/15:3/15to2/15:2/15to1/15:1/15to0/15:0/15to0/14:0/14to0/13:0/13to0/12:0/12to0/11:0/11to0/10:0/10to0/9:0/9to0/8:0/8to0/7:0/7to0/6:0/6to0/5:0/5to0/4:0/4to0/3:0/3to0/2:0/2to0/1:0/1to0/0:0/0tobottom0:,32,False,True
3035,car,541,665,124,10/15to9/15,3/14to3/13,10/15to9/15:9/15to8/15:8/15to7/15:7/15to6/15:6/15to5/15:5/15to4/15:4/15to3/15:3/15to3/14:3/14to3/13:,9,True,True
773,car,541,655,114,9/14to9/15,3/14to3/13,9/14to9/15:9/15to8/15:8/15to7/15:7/15to6/15:6/15to5/15:5/15to4/15:4/15to3/15:3/15to3/14:3/14to3/13:,9,True,True
606,car,541,622,81,2/7to2/6,1/2to1/1,2/7to2/6:2/6to1/6:1/6to1/5:1/5to1/4:1/4to1/3:1/3to1/2:1/2to1/1:,7,True,True
1386,car,542,798,256,12/1to12/2,0/1toleft1,12/1to12/2:12/2to11/2:11/2to10/2:10/2to9/2:9/2to8/2:8/2to7/2:7/2to6/2:6/2to5/2:5/2to4/2:4/2to3/2:3/2to2/2:2/2to1/2:1/2to0/2:0/2to0/1:0/1toleft1:,15,False,True
3063,car,542,843,301,1/2to2/2,12/11to12/10,1/2to2/2:2/2to3/2:3/2to4/2:4/2to5/2:5/2to6/2:6/2to7/2:7/2to8/2:8/2to9/2:9/2to10/2:10/2to10/3:10/3to10/4:10/4to10/5:10/5to10/6:10/6to10/7:10/7to10/8:10/8to10/9:10/9to10/10:10/10to10/11:10/11to11/11:11/11to12/11:12/11to12/10:,21,False,True
2979,car,543,773,230,3/3to3/4,15/5to15/4,3/3to3/4:3/4to4/4:4/4to5/4:5/4to6/4:6/4to7/4:7/4to8/4:8/4to9/4:9/4to10/4:10/4to10/5:10/5to11/5:11/5to12/5:12/5to13/5:13/5to14/5:14/5to15/5:15/5to15/4:,15,False,True
1005,car,543,629,86,10/10to10/11,10/13to9/13,10/10to10/11:10/11to11/11:11/11to11/12:11/12to11/13:11/13to10/13:10/13to9/13:,6,True,True
