,edge_id,lane_id,lane_index,lane_length,lane_shape,lane_speed
1000,:5/9_22,:5/9_22_0,0,13.50,"779.95,1375.82 778.40,1378.40 774.34,1380.84 768.65,1381.65",13.90
1001,:5/9_21,:5/9_21_0,0,2.41,"780.00,1389.70 780.83,1390.11 781.65,1391.35",13.90
1002,:5/9_20,:5/9_20_0,0,13.50,"780.05,1384.18 781.60,1381.60 785.66,1379.16 791.35,1378.35",13.90
1003,4/10to3/10,4/10to3/10_2,2,127.30,"618.65,1531.65 491.35,1531.65",13.90
1004,2/12to1/12,2/12to1/12_2,2,127.30,"318.65,1831.65 191.35,1831.65",13.90
1005,2/15totop2,2/15totop2_2,2,18.65,"331.65,2291.35 331.65,2310.00",13.90
1006,:0/0_23,:0/0_23_0,0,2.41,"30.00,20.30 29.18,19.89 28.35,18.65",13.90
1007,:0/0_22,:0/0_22_0,0,13.50,"29.95,25.82 28.40,28.40 24.34,30.84 18.65,31.65",13.90
1008,:0/0_21,:0/0_21_0,0,2.41,"30.00,39.70 30.82,40.11 31.65,41.35",13.90
1009,:0/0_20,:0/0_20_0,0,13.50,"30.05,34.18 31.60,31.60 35.66,29.16 41.35,28.35",13.90
1010,:1/12_20,:1/12_20_0,0,13.50,"180.05,1834.18 181.60,1831.60 185.66,1829.16 191.35,1828.35",13.90
1011,:1/12_21,:1/12_21_0,0,2.41,"180.00,1839.70 180.82,1840.11 181.65,1841.35",13.90
1012,:1/12_22,:1/12_22_0,0,13.50,"179.95,1825.82 178.40,1828.40 174.34,1830.84 168.65,1831.65",13.90
1013,:1/12_23,:1/12_23_0,0,2.41,"180.00,1820.30 179.18,1819.89 178.35,1818.65",13.90
1014,:0/9_15,:0/9_15_0,0,2.41,"31.65,1368.65 30.82,1369.89 30.00,1370.30",13.90
1015,:0/9_14,:0/9_14_0,0,7.47,"31.65,1368.65 30.84,1374.34 29.95,1375.82",13.90
1016,:0/9_17,:0/9_17_0,0,22.70,"18.65,1375.05 25.39,1375.05 30.00,1375.05 34.61,1375.05 41.35,1375.05",13.90
1017,:0/9_16,:0/9_16_0,0,5.00,"18.65,1371.75 20.01,1371.56 20.98,1370.97 21.56,1370.01 21.75,1368.65",13.90
1018,:0/9_11,:0/9_11_2,2,22.70,"31.65,1368.65 31.65,1375.39 31.65,1380.00 31.65,1384.61 31.65,1391.35",13.90
1019,:0/9_10,:0/9_10_0,0,5.00,"38.25,1368.65 38.44,1370.01 39.02,1370.97 39.99,1371.56 41.35,1371.75",13.90
1020,:0/9_19,:0/9_19_0,0,4.82,"18.65,1378.35 19.89,1379.18 20.30,1380.00 19.89,1380.83 18.65,1381.65",13.90
1021,:0/9_18,:0/9_18_0,0,20.97,"18.65,1378.35 24.34,1379.16 28.40,1381.60 30.84,1385.66 31.65,1391.35",13.90
1022,4/2to5/2,4/2to5/2_2,2,127.30,"641.35,328.35 768.65,328.35",13.90
1023,:10/9_22,:10/9_22_0,0,13.50,"1529.95,1375.82 1528.40,1378.40 1524.34,1380.84 1518.65,1381.65",13.90
1024,:10/9_23,:10/9_23_0,0,2.41,"1530.00,1370.30 1529.18,1369.89 1528.35,1368.65",13.90
1025,:10/9_20,:10/9_20_0,0,13.50,"1530.05,1384.18 1531.60,1381.60 1535.66,1379.16 1541.35,1378.35",13.90
1026,:10/9_21,:10/9_21_0,0,2.41,"1530.00,1389.70 1530.83,1390.11 1531.65,1391.35",13.90
1027,:14/5_19,:14/5_19_0,0,4.82,"2118.65,778.35 2119.89,779.18 2120.30,780.00 2119.89,780.83 2118.65,781.65",13.90
1028,:14/5_18,:14/5_18_0,0,20.97,"2118.65,778.35 2124.34,779.16 2128.40,781.60 2130.84,785.66 2131.65,791.35",13.90
